ROCK;IJK;XC;YC;ZC;XINC;YINC;ZINC;XMORIG;YMORIG;ZMORIG;NX;NY;NZ;DENSITY;AU;CU
6;196922;7928.75;6553.75;354.0131176;12.5;12.5;3.81645519;7410;6010;77.10489;95;95;50;2.01;9.296;0.5735
8;196968;7928.75;6566.25;311.8903477;12.5;12.5;5.42908458;7410;6010;77.10489;95;95;50;1.75;1.28;0.13
8;196969;7928.75;6566.25;320.85489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;0.72;0.08
6;196970;7928.75;6566.25;334.5312201;12.5;12.5;10.1473399;7410;6010;77.10489;95;95;50;2.01;0.23625;0.028
8;196970;7928.75;6566.25;327.9881524;12.5;12.5;1.7665247;7410;6010;77.10489;95;95;50;1.75;0.23625;0.028
6;196971;7928.75;6566.25;342.330847;12.5;12.5;5.45191408;7410;6010;77.10489;95;95;50;2.01;0;0.03
8;197017;7928.75;6578.75;300.2994467;12.5;12.5;3.61088653;7410;6010;77.10489;95;95;50;1.75;0;0
8;197018;7928.75;6578.75;308.35489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;0.83;0.06
8;197019;7928.75;6578.75;321.1263357;12.5;12.5;0.81520839;7410;6010;77.10489;95;95;50;1.75;0.93;0.09
6;197019;7928.75;6578.75;324.3194149;12.5;12.5;5.57095013;7410;6010;77.10489;95;95;50;2.01;0.93;0.09
8;197019;7928.75;6578.75;317.6618107;12.5;12.5;6.11384148;7410;6010;77.10489;95;95;50;1.75;0.93;0.09
6;197020;7928.75;6578.75;331.7764209;12.5;12.5;9.34306189;7410;6010;77.10489;95;95;50;2.01;0.52;0.03
8;197066;7928.75;6591.25;289.3437375;12.5;12.5;0.52230492;7410;6010;77.10489;95;95;50;1.75;0;0
8;197067;7928.75;6591.25;295.85489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;1.09;0.11
8;197068;7928.75;6591.25;309.3867327;12.5;12.5;0.5722582;7410;6010;77.10489;95;95;50;1.75;2.66;0.21
6;197068;7928.75;6591.25;312.1388759;12.5;12.5;4.93202821;7410;6010;77.10489;95;95;50;2.01;2.66;0.21
8;197068;7928.75;6591.25;305.6027468;12.5;12.5;6.99571359;7410;6010;77.10489;95;95;50;1.75;2.66;0.21
6;197069;7928.75;6591.25;320.85489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;2.01;0.28;0.05
6;197070;7928.75;6591.25;327.5999366;12.5;12.5;0.99009315;7410;6010;77.10489;95;95;50;2.01;0.49;0.03
8;197116;7928.75;6603.75;285.5170291;12.5;12.5;8.17572182;7410;6010;77.10489;95;95;50;1.75;1;0.1
6;197117;7928.75;6603.75;301.6810458;12.5;12.5;0.84768833;7410;6010;77.10489;95;95;50;2.01;0.49;0.06
8;197117;7928.75;6603.75;294.8693843;12.5;12.5;10.52898856;7410;6010;77.10489;95;95;50;1.75;0.49;0.06
6;197118;7928.75;6603.75;308.35489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;2.01;0.35;0.05
6;197119;7928.75;6603.75;316.6007968;12.5;12.5;3.99181356;7410;6010;77.10489;95;95;50;2.01;0;0.03
8;197165;7928.75;6616.25;275.5603834;12.5;12.5;3.08901329;7410;6010;77.10489;95;95;50;1.75;1;0
8;197166;7928.75;6616.25;283.35489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;0.83;0.12
6;197167;7928.75;6616.25;301.1129157;12.5;12.5;1.98394859;7410;6010;77.10489;95;95;50;2.01;0.98;0.09
8;197167;7928.75;6616.25;292.2428262;12.5;12.5;5.27587242;7410;6010;77.10489;95;95;50;1.75;0.98;0.09
6;197168;7928.75;6616.25;306.047873;12.5;12.5;7.88596597;7410;6010;77.10489;95;95;50;2.01;0.56;0.06
8;197215;7928.75;6628.75;271.7243263;12.5;12.5;10.76112741;7410;6010;77.10489;95;95;50;1.75;0.42;0.06
8;197216;7928.75;6628.75;279.2210094;12.5;12.5;4.23223883;7410;6010;77.10489;95;95;50;1.75;0.3465;0.08
8;197264;7928.75;6641.25;261.7593808;12.5;12.5;5.69101834;7410;6010;77.10489;95;95;50;1.75;1.18;0.13
8;197265;7928.75;6641.25;270.85489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;0.42;0.03
6;197266;7928.75;6641.25;287.6272699;12.5;12.5;3.95524013;7410;6010;77.10489;95;95;50;2.01;0.3465;0.2
8;197266;7928.75;6641.25;279.5197843;12.5;12.5;4.8297886;7410;6010;77.10489;95;95;50;1.75;0.3465;0.2
6;197267;7928.75;6641.25;290.9857139;12.5;12.5;2.76164771;7410;6010;77.10489;95;95;50;2.01;0;0.02
8;197314;7928.75;6653.75;258.8079794;12.5;12.5;11.59382113;7410;6010;77.10489;95;95;50;1.75;1.18;0.13
6;197315;7928.75;6653.75;276.3862142;12.5;12.5;1.43735169;7410;6010;77.10489;95;95;50;2.01;0.13;0.03
8;197315;7928.75;6653.75;269.7222681;12.5;12.5;10.23475629;7410;6010;77.10489;95;95;50;1.75;0.13;0.03
6;197316;7928.75;6653.75;281.6815395;12.5;12.5;9.153299;7410;6010;77.10489;95;95;50;2.01;0.3465;0.047
8;197363;7928.75;6666.25;251.4474146;12.5;12.5;1.31495074;7410;6010;77.10489;95;95;50;1.75;1.52;0.16
8;197364;7928.75;6666.25;258.35489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;1.36;0.14
8;197365;7928.75;6666.25;271.4119729;12.5;12.5;0.11979276;7410;6010;77.10489;95;95;50;1.75;0.42;0.06
6;197365;7928.75;6666.25;274.2883797;12.5;12.5;5.63302068;7410;6010;77.10489;95;95;50;2.01;0.42;0.06
8;197365;7928.75;6666.25;267.9784833;12.5;12.5;6.74718656;7410;6010;77.10489;95;95;50;1.75;0.42;0.06
6;197366;7928.75;6666.25;279.2823622;12.5;12.5;4.35494444;7410;6010;77.10489;95;95;50;2.01;0.3465;0.047
8;197413;7928.75;6678.75;252.0778014;12.5;12.5;0.0541772;7410;6010;77.10489;95;95;50;1.75;1.18;0.16
8;197414;7928.75;6678.75;258.35489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;1.18;0.14
6;197415;7928.75;6678.75;274.4819591;12.5;12.5;5.24586186;7410;6010;77.10489;95;95;50;2.01;0.13;0.06
8;197415;7928.75;6678.75;267.9451098;12.5;12.5;6.68043956;7410;6010;77.10489;95;95;50;1.75;0.13;0.06
6;197416;7928.75;6678.75;278.9522907;12.5;12.5;3.69480136;7410;6010;77.10489;95;95;50;2.01;2.31;0.02
8;197464;7928.75;6691.25;259.1869411;12.5;12.5;10.83589788;7410;6010;77.10489;95;95;50;1.75;0;0
8;197465;7928.75;6691.25;268.1688908;12.5;12.5;7.12800154;7410;6010;77.10489;95;95;50;1.75;0.94;0.11
6;197466;7928.75;6691.25;278.4250388;12.5;12.5;2.4732202;7410;6010;77.10489;95;95;50;2.01;1.29;0.07
8;197514;7928.75;6703.75;259.6349892;12.5;12.5;9.93980167;7410;6010;77.10489;95;95;50;1.75;0;0
8;197515;7928.75;6703.75;267.7805667;12.5;12.5;6.35135344;7410;6010;77.10489;95;95;50;1.75;0.94;0.11
8;201472;7941.25;6503.75;362.6758236;12.5;12.5;3.85813286;7410;6010;77.10489;95;95;50;1.75;0;0
8;201473;7941.25;6503.75;365.760312;12.5;12.5;2.31084395;7410;6010;77.10489;95;95;50;1.75;0;0
8;201522;7941.25;6516.25;358.3769501;12.5;12.5;9.102391;7410;6010;77.10489;95;95;50;1.75;0;0
8;201571;7941.25;6528.75;348.568129;12.5;12.5;7.07352207;7410;6010;77.10489;95;95;50;1.75;1.08;0.11
8;201572;7941.25;6528.75;359.7455342;12.5;12.5;0.78876153;7410;6010;77.10489;95;95;50;1.75;0.86;0
6;201572;7941.25;6528.75;360.882761;12.5;12.5;1.48569217;7410;6010;77.10489;95;95;50;2.01;0.86;0
8;201572;7941.25;6528.75;355.7280217;12.5;12.5;7.24626343;7410;6010;77.10489;95;95;50;1.75;0.86;0
8;201620;7941.25;6541.25;336.2862944;12.5;12.5;6.63719122;7410;6010;77.10489;95;95;50;1.75;0.49;0.0275
8;201621;7941.25;6541.25;349.577069;12.5;12.5;3.04385852;7410;6010;77.10489;95;95;50;1.75;0.49;0.06
6;201621;7941.25;6541.25;351.6019441;12.5;12.5;1.00589179;7410;6010;77.10489;95;95;50;2.01;0.49;0.06
8;201621;7941.25;6541.25;343.8300149;12.5;12.5;8.45024969;7410;6010;77.10489;95;95;50;1.75;0.49;0.06
6;201622;7941.25;6541.25;358.35489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;2.01;1.45;0.06
6;201623;7941.25;6541.25;368.3365744;12.5;12.5;7.46336885;7410;6010;77.10489;95;95;50;2.01;0.56;0.08
8;201669;7941.25;6553.75;324.2412918;12.5;12.5;5.72719633;7410;6010;77.10489;95;95;50;1.75;1.28;0.13
6;201670;7941.25;6553.75;336.7259231;12.5;12.5;5.75793376;7410;6010;77.10489;95;95;50;2.01;1.05;0.1
8;201670;7941.25;6553.75;330.4361;12.5;12.5;6.66242005;7410;6010;77.10489;95;95;50;1.75;1.05;0.1
6;201671;7941.25;6553.75;345.85489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;2.01;2.03;0.16
6;201672;7941.25;6553.75;356.8689536;12.5;12.5;9.52812718;7410;6010;77.10489;95;95;50;2.01;2.8;0.2
8;201718;7941.25;6566.25;312.9266971;12.5;12.5;3.35638577;7410;6010;77.10489;95;95;50;1.75;1.28;0.13
8;201719;7941.25;6566.25;320.85489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;0.72;0.08
6;201720;7941.25;6566.25;335.9849626;12.5;12.5;7.23985486;7410;6010;77.10489;95;95;50;2.01;1.75;0.09
8;201720;7941.25;6566.25;329.3796825;12.5;12.5;4.54958504;7410;6010;77.10489;95;95;50;1.75;1.75;0.09
6;201721;7941.25;6566.25;342.4762146;12.5;12.5;5.7426491;7410;6010;77.10489;95;95;50;2.01;0;0.03
8;201767;7941.25;6578.75;300.6943965;12.5;12.5;2.82098693;7410;6010;77.10489;95;95;50;1.75;0.54;0.07
8;201768;7941.25;6578.75;308.35489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;1.32;0.13
8;201769;7941.25;6578.75;320.85489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;1.43;0.13
8;201770;7941.25;6578.75;327.9661708;12.5;12.5;0.7344376;7410;6010;77.10489;95;95;50;1.75;0.68;0.07
6;201770;7941.25;6578.75;333.6859629;12.5;12.5;10.70514662;7410;6010;77.10489;95;95;50;2.01;0.68;0.07
8;201770;7941.25;6578.75;327.351921;12.5;12.5;0.49406204;7410;6010;77.10489;95;95;50;1.75;0.68;0.07
8;201816;7941.25;6591.25;289.2053855;12.5;12.5;0.799009;7410;6010;77.10489;95;95;50;1.75;0;0
8;201817;7941.25;6591.25;295.85489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;0.54;0.07
8;201818;7941.25;6591.25;308.35489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;0.28;0.08
8;201819;7941.25;6591.25;319.0543255;12.5;12.5;1.24928031;7410;6010;77.10489;95;95;50;1.75;0;0.03
6;201819;7941.25;6591.25;323.3919278;12.5;12.5;7.42592439;7410;6010;77.10489;95;95;50;2.01;0;0.03
8;201819;7941.25;6591.25;316.5172877;12.5;12.5;3.8247953;7410;6010;77.10489;95;95;50;1.75;0;0.03
6;201820;7941.25;6591.25;329.5601057;12.5;12.5;4.91043148;7410;6010;77.10489;95;95;50;2.01;0.49;0.05
8;201866;7941.25;6603.75;285.7721409;12.5;12.5;7.66549828;7410;6010;77.10489;95;95;50;1.75;1.15;0.1
8;201867;7941.25;6603.75;295.85489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;1.67;0.04
8;201868;7941.25;6603.75;310.1495212;12.5;12.5;0.17932632;7410;6010;77.10489;95;95;50;1.75;0.44;0.09
6;201868;7941.25;6603.75;312.4220372;12.5;12.5;4.36570563;7410;6010;77.10489;95;95;50;2.01;0.44;0.09
8;201868;7941.25;6603.75;306.082374;12.5;12.5;7.95496804;7410;6010;77.10489;95;95;50;1.75;0.44;0.09
6;201869;7941.25;6603.75;318.3873318;12.5;12.5;7.56488359;7410;6010;77.10489;95;95;50;2.01;0.74;0.23
8;201915;7941.25;6616.25;276.7944432;12.5;12.5;0.62089367;7410;6010;77.10489;95;95;50;1.75;1;0
8;201916;7941.25;6616.25;283.35489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;0.49;0.12
8;201917;7941.25;6616.25;295.85489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;0.84;0.14
6;201918;7941.25;6616.25;309.4497687;12.5;12.5;6.55279365;7410;6010;77.10489;95;95;50;2.01;0.61;0.07
8;201918;7941.25;6616.25;302.5470323;12.5;12.5;0.88428465;7410;6010;77.10489;95;95;50;1.75;0.61;0.07
8;201965;7941.25;6628.75;274.0051356;12.5;12.5;6.19950889;7410;6010;77.10489;95;95;50;1.75;0.42;0.06
8;201966;7941.25;6628.75;283.35489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;0.3465;0.08
8;201967;7941.25;6628.75;292.7337509;12.5;12.5;6.25772177;7410;6010;77.10489;95;95;50;1.75;0.61;0.08
8;202015;7941.25;6641.25;271.2955033;12.5;12.5;11.6187735;7410;6010;77.10489;95;95;50;1.75;0.42;0.03
8;202016;7941.25;6641.25;283.1669401;12.5;12.5;12.1241002;7410;6010;77.10489;95;95;50;1.75;0.3465;0.2
